Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000


step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
0 -27417.2200 0.0670  0.0445 -0.0150  190.3491 2.9975 1.0544
1 -8505.4000 -0.1003  -0.0990 -0.0285  179.6221 0.1585 0.8338
2 -981.1100 -0.0548  -0.0480 -0.0252  174.8942 0.0717 0.7169
3 -14761.0600 0.0719  0.0528 -0.0165  199.3765 0.1055 0.8683
4 -5118.3900 0.0005  0.0166 -0.0257  194.9285 0.0267 0.7905
5 -4965.6900 -0.0456  -0.0313 -0.0266  180.5228 0.0073 0.8234
6 -29415.0700 -0.0151  -0.0202 -0.0137  188.1661 0.0039 1.0517
7 -15217.1600 -0.0163  -0.0055 -0.0367  148.7302 0.0107 0.9805
8 289.6300 0.0129  0.0228 0.0257  65.2913 0.0025 0.1676
9 -17742.8300 0.0623  0.0555 -0.0048  210.2557 0.0010 0.8669
10 -9273.2500 0.0187  0.0180 -0.0167  193.6848 0.0009 0.6468
11 -6996.6400 0.0110  0.0115 -0.0229  184.0726 0.0133 0.9168
12 845.5500 0.0291  0.0318 -0.0052  179.2068 0.0053 0.7420
13 -8732.8600 -0.0019  0.0023 -0.0384  153.9059 0.0008 0.7935
14 859.1400 0.0261  0.0291 0.0077  77.3336 0.0002 0.0999
15 -908.5300 -0.0182  -0.0141 -0.0139  168.9695 0.0039 0.6202
16 3068.0300 -0.0453  -0.0402 0.0225  146.2714 0.0004 0.1911
17 -160.3100 -0.0192  -0.0198 -0.0096  65.1261 0.0065 0.2110
18 2024.8000 -0.0784  -0.0734 0.0130  148.4551 0.0052 0.2102
19 572.2000 0.0099  0.0117 -0.0260  78.6113 0.0012 0.4142
20 0.0000 0.3309  0.3355 -0.0826  2.5020 0.0015 0.3123
21 0.0000 0.4454  0.4511 -0.0840  2.5311 0.0020 0.1389
22 1661.8400 -0.0524  -0.0536 0.0092  49.5951 0.0038 0.2162
23 -1068.3900 -0.0318  -0.0277 -0.0090  189.4557 0.0020 0.5653
24 570.7400 -0.0565  -0.0561 -0.0100  63.4913 0.0003 0.6075
25 1221.4700 -0.0187  -0.0173 -0.0025  166.1493 0.0012 0.6307
26 2825.8000 0.0950  0.0985 0.0258  118.9265 0.0037 0.5254
27 -227.6000 -0.0321  -0.0303 -0.0161  77.5877 0.0062 0.2856
28 -4727.0700 0.0288  0.0307 -0.0281  163.8008 0.0077 0.7182
29 2839.6700 -0.0320  -0.0293 0.0045  128.0783 0.0025 0.3032
30 0.0000 0.1212  0.1193 -0.0352  1.9630 0.0003 0.2946
31 1791.9500 0.0076  0.0100 -0.0052  131.0701 0.0004 0.5452
32 2767.2700 0.0046  0.0055 0.0129  158.6239 0.0049 0.3680
33 183.0100 0.1162  0.1253 -0.0007  167.1301 0.0035 0.6531
34 -8467.3200 0.1564  0.1548 -0.0133  167.4256 0.0009 0.6466
35 -13127.0900 0.0023  0.0039 -0.0237  192.3522 0.0017 0.8584
36 1448.6000 0.0292  0.0295 0.0113  141.3123 0.0090 0.4700
37 -28.9700 -0.0105  -0.0093 -0.0024  173.8517 0.0035 0.6438
38 1455.7000 -0.1000  -0.0980 0.0045  99.1552 0.0000 0.0969
39 2025.6600 0.1646  0.1656 -0.0023  130.3691 0.0003 0.2008
40 -1895.9300 0.0729  0.0737 -0.0079  180.0155 0.0093 0.6823
41 208.6800 0.0197  0.0206 -0.0074  174.4753 0.0306 0.6230
42 -3101.2000 0.0578  0.0602 -0.0179  166.7254 0.0008 0.5803
43 2253.5800 -0.0604  -0.0590 0.0140  119.8053 0.0034 0.2383
44 314.5700 0.0293  0.0298 -0.0010  153.4520 0.0004 0.3346
45 1536.7300 0.0790  0.0814 0.0025  159.6077 0.0089 0.4490
46 -3006.7900 -0.0626  -0.0621 -0.0146  168.7873 0.0019 0.5152
47 186.2500 -0.0002  0.0011 0.0029  137.2910 0.0013 0.1290
48 -6476.1000 -0.0598  -0.0591 -0.0368  174.8582 0.0031 0.7353
49 -3373.4300 -0.0021  0.0001 -0.0254  158.2985 0.0008 0.5884
50 -4385.0400 -0.0617  -0.0586 -0.0245  175.5376 0.0010 0.5349
51 -8040.4200 -0.0329  -0.0318 -0.0271  196.9580 0.0032 0.8941
52 -9622.0000 -0.0182  -0.0162 -0.0446  198.0446 0.0009 0.8050
53 -3049.3200 -0.1516  -0.1411 -0.0266  179.4891 0.0006 0.6431
54 -2332.7700 0.0137  0.0145 -0.0267  171.6600 0.0317 0.7323
55 -879.5200 0.0258  0.0303 -0.0190  150.1369 0.0029 0.5852
56 -7397.8600 0.0393  0.0383 -0.0192  180.9667 0.0006 0.7968
57 1343.1900 -0.0003  0.0006 -0.0034  135.0690 0.0018 0.3123
58 1693.4200 0.0735  0.0799 -0.0005  141.7751 0.0008 0.3406
