Model Type: Base Actor Critic
Window Size: 10
Target KL: 0.002
Max LR: .1
Min LR: 1e-6
Actor Layers: 3
Critic Layers: 3
Action Type: Discrete
Max Positions: 3
Shares To Buy: 1000
Dropout: None
Unrealized Gain: Yes

step avg_rew ev_before ev_after act_loss crit_loss kl_dist avg_ent
0 -31281.2900 0.0407  0.0425 -0.0107  446.6864 1.2197 1.0847
1 -30464.9800 -0.0216  0.0053 -0.0171  496.1754 0.2248 1.0585
2 -15934.0700 -0.0801  -0.0301 -0.0373  477.8391 0.1128 0.8393
3 4702.2400 0.1290  0.1291 -0.0011  386.7013 0.0054 0.5086
4 -1311.5100 0.0233  0.0293 -0.0008  483.8111 0.0059 0.5529
5 5553.0600 -0.1141  -0.1087 0.0193  306.1556 0.0270 0.5005
6 175.4500 -0.0529  -0.0435 -0.0174  393.0221 0.0083 0.5522
7 -1858.7900 -0.0900  -0.0811 0.0288  451.8048 0.0029 0.4935
8 5974.2200 0.0294  0.0615 0.0055  502.9699 0.0141 0.5334
9 -9978.5000 0.0136  0.0345 0.0002  514.4335 0.0007 0.7582
10 -5812.2500 0.0901  0.1095 -0.0130  300.9041 0.0046 0.8925
11 -16649.4800 -0.0098  0.0240 -0.0217  182.5817 0.0010 0.8627
12 -5072.1700 0.0050  0.0043 -0.0136  179.1207 0.0017 0.8195
13 -3068.8900 0.0564  0.0577 -0.0106  54.4418 0.0012 0.5136
14 3023.1600 0.2007  0.2117 -0.0122  486.6216 0.0021 0.5174
15 -6958.4700 0.0042  0.0178 -0.0153  185.1178 0.0007 0.8376
16 -15575.1900 0.1052  0.1100 -0.0599  480.3437 0.0001 0.5770
17 -15148.8900 -0.0170  -0.0152 -0.0097  561.1591 0.0002 0.8995
18 8898.1900 0.0906  0.0954 -0.0018  401.0364 0.0035 0.6665
19 -6289.4000 0.0611  0.0632 -0.0213  512.1260 0.0067 0.5726
20 -19377.0700 0.0469  0.0482 -0.0089  492.1869 0.0062 0.9839
21 -11928.8600 0.1103  0.1146 -0.0200  273.9774 0.0019 0.9270
22 -21702.6600 -0.0623  -0.0605 -0.0106  475.3219 0.0007 0.7572
23 -12582.3300 -0.0167  -0.0167 -0.0047  539.1545 0.0003 0.7942
24 -4967.7800 -0.0001  0.0060 -0.0175  518.5700 0.0028 0.7995
25 -16699.0500 -0.0479  -0.0474 -0.0021  359.1606 0.0007 0.7597
26 -18380.3600 -0.0489  -0.0476 -0.0170  426.0057 0.0041 1.0048
27 -8994.2600 0.0553  0.0577 -0.0605  353.0368 0.0028 0.6474
28 -21015.9800 -0.0393  -0.0356 -0.0538  418.2281 0.0026 0.8005
29 -11900.6300 0.0034  0.0062 -0.0295  360.0866 0.0015 0.8522
30 -512.5200 0.0721  0.0767 -0.0258  373.4565 0.0068 0.7974
31 -5831.2000 0.0309  0.0331 -0.0156  427.8048 0.0065 0.7864
32 -1065.6800 0.0361  0.0365 -0.0103  435.9651 0.0008 0.9254
33 6480.7400 0.0265  0.0299 0.0100  396.0362 0.0398 0.3515
34 -21721.5400 -0.0177  -0.0164 -0.0250  424.6606 0.0019 0.8428
35 -8645.9100 -0.0196  -0.0194 -0.0089  485.0600 0.0033 0.7922
36 -3167.6100 0.0424  0.0445 0.0001  375.6767 0.0056 0.8786
37 -12916.3200 -0.0377  -0.0374 -0.0175  384.7707 0.0022 0.9020
38 -2199.0400 0.0750  0.0768 -0.0093  531.1802 0.0008 0.6961
39 -18878.6300 -0.0835  -0.0804 -0.0111  480.1345 0.0137 1.0013
40 -215.2500 0.0570  0.0594 -0.0130  461.1523 0.0069 0.7522
41 -2326.2300 -0.0257  -0.0224 -0.0120  510.9911 0.0016 0.7499
42 -25929.9500 0.0201  0.0186 -0.0042  477.9420 0.0002 1.0284
43 7194.5200 0.0757  0.0764 -0.0151  410.8015 0.0007 0.9055
44 -30840.6900 -0.0910  -0.0899 -0.0208  376.0320 0.0008 1.0161
45 -12815.2600 0.0569  0.0589 -0.0214  503.2800 0.0016 0.9137
46 -30536.4700 -0.0596  -0.0582 -0.0212  413.0932 0.0006 1.0139
47 -8881.3300 -0.0115  -0.0118 -0.0131  355.3041 0.0036 1.0141
48 -8895.6700 -0.0304  -0.0292 -0.0135  422.9190 0.0354 0.9293
49 -4655.6600 0.0144  0.0152 -0.0161  414.6405 0.0001 0.8858
50 -13133.8900 -0.0700  -0.0660 -0.0227  390.1683 0.0355 0.9521
51 -10033.9100 0.0523  0.0570 -0.0255  492.7023 0.0002 0.8863
52 -10913.1000 0.0827  0.0838 -0.0133  161.4307 0.0034 0.8123
53 -8371.6500 0.0092  0.0118 -0.0130  420.1586 0.0029 0.9789
54 -4799.0400 0.0853  0.0866 -0.0042  122.7050 0.0072 0.4347
55 -6943.5100 0.1110  0.1132 -0.0430  55.8124 0.0117 0.7663
56 3341.3800 -0.0064  0.0024 -0.0153  420.6436 0.0041 0.8937
57 -8486.2000 0.0350  0.0358 -0.0225  329.1420 0.0005 0.9045
58 -5251.1700 -0.0480  -0.0473 -0.0119  463.0956 0.0011 0.8804
59 1148.7700 0.0146  0.0170 -0.0268  428.5269 0.0021 0.8410
60 780.0000 0.0626  0.0643 -0.0057  382.1327 0.0002 0.8888
61 -448.3600 -0.0139  -0.0143 -0.0357  28.4009 0.0126 0.2320
62 -11694.7900 0.0120  0.0136 -0.0153  333.4260 0.0011 0.9119
63 -416.5700 -0.0212  -0.0188 -0.0143  431.2491 0.0005 0.8505
64 2743.4000 -0.0658  -0.0663 0.0100  391.1670 0.0019 0.7719
65 1236.4600 0.0193  0.0197 0.0212  36.4484 0.0001 0.0259
66 5369.0700 0.1161  0.1250 -0.0100  282.0968 0.0013 0.3389
67 1708.5100 0.1327  0.1387 -0.0193  422.9873 0.0018 0.9308
68 4568.9300 0.0550  0.0563 0.0018  487.6518 0.0004 0.8801
69 441.8300 0.0144  0.0157 -0.0098  31.8605 0.0020 0.3056
70 -6951.8700 0.0449  0.0461 -0.0172  396.9089 0.0064 0.8096
71 0.0000 0.6797  0.6830 -0.0113  16.0461 0.0003 0.0765
72 0.0000 0.3999  0.4012 -0.0119  18.9306 0.0332 0.0976
73 -10531.6100 0.0902  0.0922 -0.0225  390.0690 0.0021 0.9344
74 3191.0300 -0.0269  -0.0208 -0.0058  429.3988 0.0034 0.8023
75 -113.6300 0.1364  0.1375 -0.0126  10.8294 0.0007 0.5619
76 -4256.9600 0.0473  0.0494 -0.0025  468.2840 0.0041 0.9283
77 -11963.0500 0.0695  0.0710 -0.0134  415.3041 0.0012 0.9325
78 0.0000 0.4962  0.4973 -0.0831  8.9306 0.1198 0.4784
79 2839.8800 -0.1052  -0.1047 -0.0182  383.1716 0.0029 0.7363
80 1400.3900 -0.0163  -0.0135 -0.0153  399.6380 0.0013 0.7961
81 12078.9200 -0.0040  -0.0044 0.0079  381.3643 0.0059 0.5473
82 169.5700 0.0837  0.0827 -0.0058  445.0084 0.0011 0.8611
83 710.7600 -0.0606  -0.0594 -0.0109  412.8195 0.0040 0.8890
84 -15155.9500 0.0311  0.0356 -0.0163  363.5655 0.0003 0.9618
85 3076.9700 0.1081  0.1080 0.0243  361.9874 0.0363 0.5492
86 -5646.6000 0.0404  0.0396 -0.0008  451.1379 0.0022 0.9413
87 -16048.9900 0.0779  0.0809 -0.0169  342.8007 0.0024 1.0145
88 -18206.3300 0.0415  0.0430 -0.0167  447.7116 0.0062 1.0262
89 -10383.2600 0.0222  0.0255 -0.0164  338.8356 0.0036 0.9570
90 -19915.3400 -0.0740  -0.0703 -0.0235  392.0347 0.0007 0.9360
91 -29926.1700 -0.1174  -0.1155 -0.0208  409.7414 0.0004 0.9665
92 -18120.4100 0.0421  0.0452 -0.0139  370.2080 0.0017 1.0601
93 -3639.8200 -0.1335  -0.1197 -0.0613  23.3946 0.0146 0.7575
94 -21027.7100 0.0726  0.0762 -0.0154  435.7309 0.0027 1.0065
95 -1758.6700 -0.1024  -0.0974 -0.0593  16.0185 0.0055 0.6623
96 -13995.5700 0.0089  0.0104 -0.0114  449.3853 0.0008 1.0626
97 -16644.3700 -0.0466  -0.0444 -0.0253  311.9225 0.0017 0.9449
98 -14873.4200 -0.0096  -0.0124 -0.0091  411.2691 0.0008 0.9668
99 0.0000 0.7564  0.7566 -0.0063  6.7089 0.0022 0.1578
100 -7782.8000 0.0703  0.0749 -0.0110  464.4977 0.0024 0.9696
101 -19848.7700 0.0144  0.0163 -0.0122  443.6826 0.0011 1.0339
102 -75.8200 0.1884  0.1876 -0.0342  7.9344 0.0017 0.5966
103 -7169.6100 -0.0004  0.0014 -0.0151  108.8346 0.0029 0.8300
104 0.0000 0.5335  0.5222 -0.0393  4.0620 0.0178 0.4769
105 -11.9900 0.4530  0.4574 0.0333  4.4969 0.0135 0.5776
106 -16577.2200 0.0559  0.0589 -0.0137  469.3304 0.0052 0.9897
107 -1258.0700 -0.0464  -0.0466 -0.0254  21.0220 0.0003 0.7544
108 -13716.7900 -0.1234  -0.1213 -0.0287  177.8213 0.0010 0.9587
109 -4049.4600 0.0370  0.0362 -0.0108  256.9865 0.0002 0.8803
110 -26370.9000 0.0384  0.0393 -0.0044  512.5069 0.0075 0.9582
111 -28726.8400 0.0121  0.0121 -0.0174  467.0668 0.0032 1.0255
112 -14312.0000 0.1045  0.1088 -0.0171  551.5873 0.0019 1.0331
113 -3391.9100 0.1473  0.1476 -0.0450  30.5627 0.0103 0.7873
114 -17671.3700 -0.0878  -0.0846 -0.0261  282.7351 0.0380 0.8829
115 -25100.4100 0.0396  0.0395 -0.0112  394.9477 0.0007 1.0233
116 -30650.8400 0.0572  0.0612 -0.0157  450.1988 0.0002 1.0227
117 -1973.3200 0.0126  0.0149 -0.0650  29.3715 0.0098 0.3489
118 -15172.4800 0.0483  0.0596 -0.0337  477.9654 0.0003 0.9965
119 -913.2900 -0.0850  -0.0678 -0.0509  15.4877 0.0039 0.5484
120 -23860.6600 0.0171  0.0205 -0.0131  364.3476 0.0007 0.9813
121 -14255.1200 -0.1643  -0.1633 -0.0507  100.6447 0.0162 0.8183
122 0.0000 0.6734  0.6735 -0.1139  5.5538 0.0010 0.3295
123 -39.5500 0.6407  0.6431 0.0300  19.3119 0.0022 0.6407
124 -6675.7500 0.1159  0.1173 -0.0347  107.8760 0.0051 0.6679
125 -29352.5200 0.1757  0.1762 -0.0187  473.4808 0.0013 1.0705
126 -11287.1500 -0.1501  -0.1431 -0.0773  113.5470 0.0059 0.7492
127 5.4100 0.7486  0.7438 -0.0058  17.9408 0.0011 0.6672
128 0.0000 0.8491  0.8521 -0.0170  8.5528 0.0019 0.5568
129 -1283.7300 0.0616  0.0657 -0.0811  31.7702 0.0031 0.5110
130 -442.2100 0.2265  0.2270 -0.0399  32.7665 0.0023 0.5100
131 0.0000 0.8447  0.8459 -0.0131  7.8990 0.0020 0.6096
132 -6441.6100 -0.0009  -0.0011 -0.0126  450.3004 0.0005 0.8101
133 -12200.4000 -0.0691  -0.0654 -0.0421  136.7646 0.0014 0.8262
134 -71.2600 0.5681  0.5636 -0.0127  27.5511 0.0032 0.5160
135 -7927.9900 0.0813  0.0823 -0.0220  58.5705 0.0039 0.8127
136 -6753.7100 -0.0033  -0.0061 -0.0019  307.2529 0.0009 0.9864
137 -6.5800 0.5799  0.5794 0.0124  49.2278 0.0044 0.6127
138 -29.3900 0.6515  0.6423 -0.0109  25.5956 0.0011 0.4927
139 -11.9900 0.5324  0.5298 -0.0302  10.7782 0.0014 0.6489
140 -3257.9200 0.1376  0.1393 -0.0490  69.1685 0.0010 0.6632
141 -11932.2600 0.1158  0.1214 -0.0086  373.2708 0.0048 0.6970
142 0.0000 0.6880  0.6904 0.0037  28.4024 0.0043 0.6010
143 0.0000 0.4419  0.4347 0.0525  20.9371 0.0015 0.4378
